Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_MTORC1_SIGNALING,0.3751285355569598,1.359495187333074,0.0,0.08002759572266298,0.079,49/197,5.40%,PPP1R15A;BHLHE40;GBE1;PGK1;SLC2A1;GAPDH;SLC2A3;NUPR1;ERO1A;LDHA;DDIT3;PLOD2;NAMPT;HSPE1;INSIG1;IGFBP5;NFIL3;UBE2D3;EIF2S2;TPI1;SCD;AK4;CDKN1A;GLRX;PDK1;SLC6A6;ENO1;SYTL2;HSPA9;DDX39A;HSPA5;HK2;TRIB3;IFRD1;RAB1A;TFRC;ALDOA;P4HA1;VLDLR;GPI;CXCR4;CACYBP;DDIT4;IFI30;ETF1;EGLN3;HSPD1;MTHFD2;ACTR3
prerank,HALLMARK_APOPTOSIS,0.384912988580793,1.3498980058276981,0.0,0.0725373281427093,0.083,31/156,3.29%,LGALS3;SOD2;GADD45A;WEE1;CD44;ANXA1;CAV1;MCL1;ENO2;GADD45B;JUN;DDIT3;BNIP3L;GPX3;BIRC3;HMGB2;CFLAR;VDAC2;ATF3;EMP1;HSPB1;IGFBP6;HMOX1;CDKN1A;BTG3;BCL2L1;BCL2L2;DNAJA1;IRF1;TIMP1;CYLD
prerank,HALLMARK_APICAL_JUNCTION,-0.48315812425961474,-1.2769352974696577,0.03696098562628337,0.25349072560384417,0.868,73/192,17.39%,VWF;THY1;SDC3;SIRPA;NLGN3;COL16A1;SHC1;PECAM1;AKT2;CLDN5;NECTIN2;INPPL1;ACTN4;ARHGEF6;SYMPK;FSCN1;PFN1;SGCE;YWHAH;MSN;PARVA;ADAM15;ACTB;TJP1;NECTIN3;CDH6;NLGN2;TAOK2;LAMB3;CX3CL1;PTK2;ADAM9;JAM3;CERCAM;NF1;CLDN11;BMP1;MMP2;CD276;TSPAN4;JUP;PKD1;ITGA2;PTEN;FBN1;MPZL1;MVD;CTNND1;HADH;ITGA10;TUBG1;ITGB4;TRO;VASP;MYH10;GAMT;GNAI2;IKBKG;CTNNA1;PLCG1;TNFRSF11B;CD34;MAPK14;MMP9;TMEM8B;EVL;TGFBI;MDK;ACTG2;CDH11;VAV2;EPB41L2;ACTN1
prerank,HALLMARK_MYC_TARGETS_V2,0.4104640119128721,1.2576704418802542,0.10377358490566038,0.13038978958261468,0.168,14/57,5.37%,MYC;NPM1;HSPE1;GNL3;RCL1;HK2;PA2G4;NOP16;WDR43;IMP4;MPHOSPH10;TFB2M;HSPD1;NDUFAF4
prerank,HALLMARK_SPERMATOGENESIS,-0.5001427961125533,-1.251900989288492,0.07675675675675675,0.30132208294030766,0.937,40/101,30.56%,PCSK1N;SCG3;PEBP1;TALDO1;SCG5;SEPTIN4;JAM3;HSPA2;STAM2;PGS1;TSN;VDAC3;GSTM3;IDE;SPATA6;IFT88;LPIN1;CLPB;ACE;CNIH2;CHFR;PHKG2;MAST2;MTOR;DDX25;ARL4A;ZC3H14;CDK1;PARP2;SLC12A2;IP6K1;CSNK2A2;NPHP1;MLLT10;RAD17;GMCL1;CCNB2;GAD1;RPL39L;EZH2
prerank,HALLMARK_INFLAMMATORY_RESPONSE,0.3514958110533287,1.237514947590184,0.0,0.13000651565673987,0.186,40/193,6.99%,ADM;NFKBIA;SERPINE1;KLF6;MYC;CXCL8;NAMPT;ABCA1;PDPN;EMP3;ITGA5;DCBLD2;SPHK1;CDKN1A;LIF;AHR;HIF1A;ICAM1;IRAK2;RAF1;IRF1;TIMP1;CD55;SGMS2;EREG;OSMR;INHBA;NFKB1;IL1B;CCL20;GNAI3;MXD1;RNF144B;RGS1;AQP9;IL1A;PLAUR;IL1R1;ABI1;MARCO
prerank,HALLMARK_DNA_REPAIR,-0.4760981267215999,-1.2316836424983195,0.07142857142857142,0.3372858325725569,0.974,85/149,29.94%,NME3;PDE4B;TMED2;APRT;TAF1C;VPS28;SEC61A1;NME4;POLD4;TP53;MPG;PCNA;BCAP31;RBX1;NT5C;CANT1;TK2;RPA2;ARL6IP1;POLR2E;POLR2J;POLR2G;GUK1;PNP;DDB1;HCLS1;ITPA;RRM2B;NELFCD;ERCC2;CSTF3;NME1;MPC2;POLR2A;BCAM;TAF10;ADCY6;GTF2H3;ADRM1;TARBP2;ERCC3;MRPL40;NUDT9;RPA3;POLR2F;DUT;AK1;ERCC5;VPS37B;SNAPC5;POLR2I;POLR3GL;DAD1;AGO4;ERCC1;EDF1;RFC2;DGCR8;DCTN4;GTF2A2;TAF6;SAC3D1;AAAS;POLE4;GMPR2;POLL;SURF1;GSDME;TSG101;HPRT1;BRF2;NPR2;FEN1;SF3A3;ADA;POLA2;DDB2;POLD1;POLA1;TAF12;SNAPC4;RAE1;NELFB;CETN2;POLR2D
prerank,HALLMARK_PEROXISOME,-0.4854688587224774,-1.218746963755976,0.10599571734475374,0.34857481204692514,0.987,47/100,19.74%,PRDX1;ACOX1;SLC35B2;TSPO;GSTK1;ITGB1BP1;CTBP1;SOD1;YWHAH;FADS1;ECI2;FIS1;FDPS;MVP;SLC23A2;IDH1;RETSAT;SCP2;ABCD3;ALDH9A1;ECH1;ELOVL5;DHCR24;ABCB9;ABCC5;IDH2;RDH11;HSD17B4;HMGCL;ERCC3;ALDH1A1;EPHX2;IDI1;IDE;MSH2;PRDX5;HSD17B11;TOP2A;PEX6;ATXN1;ERCC1;ACOT8;ABCB1;ABCD1;ACAA1;STS;SLC25A4
prerank,HALLMARK_NOTCH_SIGNALING,-0.5619338914541492,-1.2175757388505644,0.14957780458383596,0.3181206343814356,0.987,20/32,21.20%,LFNG;NOTCH1;NOTCH3;PRKCA;RBX1;NOTCH2;PSENEN;TCF7L2;KAT2A;HEYL;FZD7;ARRB1;PPARD;CUL1;JAG1;CCND1;DTX2;SKP1;WNT5A;PSEN2
prerank,HALLMARK_XENOBIOTIC_METABOLISM,-0.4692172672237325,-1.214662879892198,0.07304526748971193,0.2982565512023485,0.988,58/176,13.81%,NDRG2;TNFRSF1A;IGFBP4;ALDH2;EPHX1;ACOX1;ATP2A2;CA2;CROT;CBR1;PGD;CFB;FBLN1;GSS;CDO1;COMT;LCAT;ACP2;APOE;ADH5;NQO1;IDH1;RETSAT;ALDH9A1;ECH1;ELOVL5;PSMB10;GSTM4;SLC12A4;MCCC2;ACO2;CYP2J2;ABCC3;SMOX;PINK1;SLC35B1;JUP;BCAT1;CNDP2;DCXR;PGRMC1;POR;BPHL;PEMT;PC;ABHD6;DHRS7;GSR;TPST1;ACP1;CYP27A1;LPIN2;TKFC;LONP1;HES6;NFS1;PYCR1;SAR1B
prerank,HALLMARK_MITOTIC_SPINDLE,-0.45593040760892317,-1.2042360356925554,0.07975460122699386,0.30799063006447136,0.993,107/199,31.49%,GSN;SPTBN1;CDC42EP4;KLC1;PXN;KIF1B;ACTN4;TUBGCP6;FSCN1;ARHGEF12;SPTAN1;TBCD;TIAM1;HDAC6;BCR;DYNC1H1;EZR;TAOK2;CKAP5;NOTCH2;AKAP13;MAP3K11;MAPRE1;FARP1;PREX1;NF1;ARAP3;PKD2;KIFAP3;DOCK4;PLEKHG2;ATG4B;ANLN;ARHGAP4;MYH10;RHOT2;FLNB;CSNK1D;TUBGCP2;CTTN;DST;ARHGAP27;KIF22;STK38L;RANBP9;SSH2;MID1;APC;SMC1A;BIN1;RABGAP1;SOS1;ARHGEF7;CDC42BPA;TUBA4A;SHROOM1;NUMA1;TUBGCP3;EPB41L2;KATNB1;TOP2A;CDC42EP1;PCNT;RASA1;TPX2;RAPGEF6;SAC3D1;CCDC88A;SMC4;KPTN;TUBGCP5;NCK2;ARHGEF2;PAFAH1B1;VCL;CDK1;FGD4;BIRC5;ARHGEF11;PDLIM5;MAP1S;SORBS2;CLASP1;ALS2;OPHN1;NIN;ARHGEF3;ECT2;CEP192;CNTROB;NUSAP1;GEMIN4;TUBD1;DYNLL2;CCNB2;ARFGEF1;RAB3GAP1;LRPPRC;KIF4A;KIF3C;PRC1;SHROOM2;CDC42;DOCK2;LMNB1;BCL2L11;NEDD9
prerank,HALLMARK_UV_RESPONSE_UP,0.3513921639616462,1.193439130302448,0.06060606060606061,0.15895136253880648,0.249,39/153,6.43%,SOD2;NFKBIA;DNAJB1;ENO2;JUNB;CXCL2;PDLIM3;BTG1;GPX3;ATP6V1F;ATF3;AMD1;HMOX1;FOS;BTG3;EIF5;ICAM1;CEBPG;DNAJA1;HSPA13;RRAD;IRF1;POLR2H;SLC6A8;TFRC;ALDOA;DDX21;IGFBP2;ATP6V1C1;BSG;FOSB;MAOA;PPP1R2;LHX2;POLE3;HNRNPU;FKBP4;SQSTM1;NUP58
prerank,HALLMARK_KRAS_SIGNALING_DN,-0.456524651178809,-1.1915389513293753,0.12748171368861025,0.32294594431279433,0.997,30/151,18.77%,KLHDC8A;SELENOP;LFNG;CELSR2;CHST2;PTPRJ;COQ8A;PDK2;RGS11;COPZ2;FGFR3;SKIL;IDUA;TENM2;SLC38A3;BMPR1B;MAST3;CCDC106;CAMK1D;GAMT;SLC25A23;BTG2;NUDT11;FGGY;SPHK2;KMT2D;EFHD1;TFCP2L1;MX1;MTHFR
prerank,HALLMARK_PROTEIN_SECRETION,-0.4671849177843943,-1.184079751384088,0.1603875134553283,0.32385420995004655,0.998,62/95,30.58%,GNAS;CLCN3;TMED2;COPE;CLTC;AP2S1;KIF1B;TMED10;SCRN1;SOD1;PPT1;MAPK1;ERGIC3;AP2M1;VPS45;RER1;STX16;RAB2A;AP1G1;USO1;DNM1L;COG2;PAM;SEC22B;DST;ADAM10;SSPN;GBF1;ATP1A1;ARFGAP3;GOSR2;CD63;SNAP23;LAMP2;VAMP4;ARFIP1;NAPA;VAMP7;GLA;AP2B1;SCAMP3;KRT18;COPB1;SCAMP1;STX12;TSG101;RAB22A;SEC24D;MON2;GALC;DOP1A;YIPF6;AP3B1;RAB9A;SGMS1;YKT6;ARFGEF1;TMX1;TPD52;EGFR;IGF2R;BET1
prerank,HALLMARK_MYOGENESIS,-0.4511838067589176,-1.1789119000387542,0.10092687950566426,0.31949215515594154,1.0,57/183,14.83%,SPARC;CLU;CKB;GSN;SLN;COL3A1;COL1A1;IGFBP7;AGRN;APOD;COL4A2;PLXNB2;AKT2;NOTCH1;CAMK2B;ITGA7;SORBS1;GABARAPL2;GAA;APP;FHL1;PFKM;SYNGR2;SPTAN1;PTP4A3;FDPS;SH2B1;NQO1;LAMA2;AEBP1;HSPB8;COL6A3;TGFB1;TSC2;MYL6B;APLNR;NCAM1;COX7A1;RB1;DMPK;MYO1C;MEF2C;FXYD1;ADAM12;PKIA;ITGB4;PC;HDAC5;DMD;SMTN;SSPN;COL15A1;MAPK12;HBEGF;EFS;BIN1;AK1
prerank,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.351689792097858,1.156621325579044,0.09722222222222222,0.18915613534447615,0.313,19/109,4.72%,CEBPB;VEGFA;ATF4;RPS14;EIF4A2;NPM1;ERO1A;EEF2;ATF3;EIF4EBP1;STC2;HSPA9;CEBPG;HSPA5;EIF4A1;DNAJB9;DDIT4;DCP1A;NOP14
prerank,HALLMARK_IL2_STAT5_SIGNALING,0.320237710837654,1.1383090332857349,0.03571428571428571,0.20788777739450384,0.366,26/196,4.25%,PLIN2;BHLHE40;KLF6;MYC;CD44;MAFF;SLC2A3;GADD45B;SPP1;NDRG1;NFIL3;PIM1;NFKBIZ;RRAGD;EMP1;NRP1;LIF;BCL2;BCL2L1;AHR;HK2;DHRS3;P4HA1;RORA;PHLDA1;PENK
prerank,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.32180815504053917,1.1380897255585418,0.0,0.19189640990261894,0.366,32/192,4.46%,BHLHE40;MYC;CD44;SLC2A1;PDLIM3;CA12;HES1;GJA1;SH3BP5;RPS6KA2;UGCG;FOS;NAV2;MYOF;STC2;SIAH2;BAG1;BCL2;NXT1;SLC16A1;GAB2;DHRS3;MREG;BLVRB;TIPARP;RETREG1;DYNLT3;PLAAT3;SLC19A2;DLC1;KLF10;ALDH3B1
prerank,HALLMARK_ANGIOGENESIS,-0.5082780628235227,-1.1160098979357769,0.30677764565992865,0.5226216003906499,1.0,18/34,17.05%,COL3A1;POSTN;ITGAV;FSTL1;LPL;COL5A2;LUM;APP;CCND2;LRPAP1;PTK2;KCNJ8;PDGFA;OLR1;TNFRSF21;S100A4;JAG1;VAV2
prerank,HALLMARK_COMPLEMENT,-0.42131260437810153,-1.1053180976432537,0.2343268242548818,0.5334069340353708,1.0,51/190,12.20%,CLU;PRCP;MT3;SCG3;C3;CALM1;F3;CD59;FN1;C1QA;PLAT;ATOX1;SPOCK2;LRP1;CFH;COL4A2;C1QC;CASP3;S100A13;CA2;GNB2;DGKG;CSRP1;SERPING1;PSEN1;CFB;PFN1;FYN;DUSP6;CALM3;LIPA;TIMP2;CTSO;LAP3;ADAM9;MSRB1;PSMB9;IRF7;NOTCH4;CPM;LGMN;FDX1;PPP4C;DOCK4;SH2B3;CPQ;ERAP2;GNAI2;GNB4;OLR1;MMP14
prerank,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.36582033331916153,1.0985666686220281,0.24031007751937986,0.233775193416449,0.445,7/49,1.90%,SOD2;FTL;JUNB;GPX3;PFKP;OXSR1;GLRX
prerank,HALLMARK_ESTROGEN_RESPONSE_LATE,-0.4124889909769191,-1.0796667768987462,0.3133265513733469,0.602827493636606,1.0,60/186,18.67%,CPE;CKB;SERPINA3;FABP5;IGFBP4;COX6C;NCOR2;CELSR2;CA2;ITPK1;IL17RB;ABCA3;TST;ALDH3A2;ABHD2;AMFR;TIAM1;PDCD4;HSPB8;WFS1;CD9;PLXNB1;DHCR7;ELOVL5;METTL3;FARP1;FGFR3;CHPT1;SLC1A4;CYP4F11;SEMA3B;IDH2;ETFB;DCXR;ATP2B4;UNC13B;FDFT1;TPBG;PRSS23;NRIP1;SCARB1;IL6ST;CXCL14;FLNB;SLC26A2;ARL3;ADD3;RAB31;MDK;AFF1;SLC29A1;TSPAN13;CCND1;PTPN6;GALE;MOCS2;MEST;TOP2A;ASCL1;GLA
prerank,HALLMARK_FATTY_ACID_METABOLISM,-0.41624548798858463,-1.074752967452417,0.34375,0.5903618092810634,1.0,67/147,20.48%,XIST;EPHX1;ACOX1;CA2;CBR1;DECR1;PTPRG;YWHAH;ACSS1;ALDH3A2;ECI2;HSD17B10;ECI1;IDH1;RETSAT;ALDH9A1;ECHS1;FASN;ADIPOR2;ECH1;FH;ELOVL5;DHCR24;IDH3G;ACO2;RDH11;UBE2L6;SDHC;GCDH;HSD17B4;UROS;BMPR1B;HADH;ACADVL;PDHB;BPHL;HMGCL;REEP6;ALDH1A1;ACADM;UROD;LTC4S;MDH2;CBR3;NTHL1;BCKDHB;SUCLA2;IDI1;RAP1GDS1;D2HGDH;HMGCS1;PSME1;OSTC;HSD17B11;DLD;CPT2;NBN;CRYZ;ADSL;KMT5A;ACOT8;ACAA1;HADHB;PCBD1;GSTZ1;G0S2;HIBCH
prerank,HALLMARK_TGF_BETA_SIGNALING,-0.4546989383377439,-1.0741264817918925,0.35454545454545455,0.5629370926307297,1.0,21/53,14.06%,SPTBN1;ENG;IFNGR2;PPP1CA;NCOR2;ID3;SLC20A1;FURIN;FKBP1A;TJP1;TGFB1;SMAD1;TGFBR1;SKIL;SMAD3;LTBP2;CTNNB1;HDAC1;BMPR2;RAB31;APC
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.40759469956726496,-1.062750471721358,0.34083930399181167,0.5779980406846078,1.0,87/196,22.35%,CD74;LGALS3BP;TAPBP;PDE4B;HLA-DRB1;CFH;BST2;CASP3;HLA-DMA;SERPING1;RNF213;CFB;TXNIP;SPPL2A;SRI;STAT2;VAMP5;MVP;IFITM3;IFI27;LAP3;ADAR;CMTR1;PSMB2;PSMB9;IRF7;TAP1;PSMB10;ST8SIA4;LY6E;PNP;PARP14;TRAFD1;UBE2L6;IFI44;SAMD9L;OAS2;STAT1;LYSMD2;HLA-DQA1;MYD88;ISG15;IFITM2;IFI35;IFNAR2;NLRC5;PSME2;APOL6;XAF1;OAS3;PML;DHX58;FGL2;IRF9;IFIT1;OGFR;SSPN;RNF31;EIF2AK2;RIPK1;NMI;PELI1;LCP2;PSMB8;PSME1;FCGR1A;CIITA;TNFSF10;PTPN6;TRIM25;IL10RA;RBCK1;HERC6;NUP93;SOCS3;MX1;CD40;IRF2;TRIM26;ARL4A;RAPGEF6;HELZ2;CASP1;NCOA3;BPGM;PARP12;PNPT1
prerank,HALLMARK_KRAS_SIGNALING_UP,-0.3927442423500926,-1.0363507708103883,0.4022517911975435,0.6429413774268449,1.0,71/192,22.04%,CPE;PCSK1N;SERPINA3;GPRC5B;SCG3;ENG;PLAT;TRIB2;APOD;PLVAP;CFH;PECAM1;AKT2;ETV5;ADGRL4;CA2;CROT;SPARCL1;CFB;DUSP6;CCND2;SCG5;VWA5A;TMEM158;ITGB2;ANKH;SEMA3B;PRRX1;JUP;ETV1;ITGA2;SOX9;C3AR1;PTBP2;DNMBP;ADGRA2;CBR4;ADAM17;BTBD3;MTMR10;TOR1AIP2;FUCA1;RBM4;TNFRSF1B;ST6GAL1;GNG11;HBEGF;MMP9;SNAP25;ANO1;PSMB8;EPB41L3;FBXO4;LAT2;TSPAN13;ACE;MMP11;PRELID3B;IL10RA;ABCB1;F13A1;LAPTM5;MAP3K1;G0S2;TMEM176B;GYPC;EVI5;PLAU;ETV4;CTSS;BPGM
prerank,HALLMARK_HEME_METABOLISM,-0.3887322647652118,-1.0260317964270578,0.41855670103092785,0.6497618900364895,1.0,63/181,19.28%,C3;LMO2;ALDH1L1;ENDOD1;CCND3;MBOAT2;CLCN3;ADD1;SEC14L1;CA2;PRDX2;PIGQ;ADD2;ARHGEF12;SIDT2;PGLS;LRP10;HAGH;GDE1;FBXO9;KAT2B;PICALM;PSMD9;SLC7A11;SMOX;MGST3;UROS;EIF2AK1;HTRA2;BMP2K;NARF;SLC6A9;RBM38;CTNS;BCAM;PC;BTG2;ARL2BP;LPIN2;NNT;HMBS;UROD;ABCB6;TFDP2;KHNYN;RNF123;PPOX;TNRC6B;DCAF11;PPP2R5B;ATP6V0A1;DCUN1D1;SYNJ1;LAMP2;MARK3;ALDH6A1;GLRX5;IGSF3;NFE2L1;SELENBP1;XPO7;FBXO7;OSBP2
